central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
RIO CUARTO,EPEC GENERACION,EPEC,TERMICA,32,<br>Maquina: RCUATG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01<br>Maquina: RCUATG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1975 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,RIO CUARTO,CORDOBA,CAMMESA,0101000020E61000006072A3C85A1750C0CEA96400A89440C0,"{""type"":""Point"",""coordinates"":[-64.364916,-33.161377]}"
RIO GRANDE,EPEC GENERACION,EPEC,HIDRAULICA,750,<br>Maquina: RGDEHB01 | Tipo máquina: TURB + BOMBA HI | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 187.5 | Año de puesta en marcha: 1986 | Año de ingreso al MEM: 1994-01-01<br>Maquina: RGDEHB03 | Tipo máquina: TURB + BOMBA HI | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 187.5 | Año de puesta en marcha: 1986 | Año de ingreso al MEM: 1994-01-01<br>Maquina: RGDEHB02 | Tipo máquina: TURB + BOMBA HI | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 187.5 | Año de puesta en marcha: 1986 | Año de ingreso al MEM: 1994-01-01<br>Maquina: RGDEHB04 | Tipo máquina: TURB + BOMBA HI | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 187.5 | Año de puesta en marcha: 1986 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CALAMUCHITA,CORDOBA,CAMMESA,0101000020E61000001155F833BC2850C0AE4676A5651C40C0,"{""type"":""Point"",""coordinates"":[-64.636487,-32.221852]}"
SAN FRANCISCO,EPEC GENERACION,EPEC,TERMICA,39,<br>Maquina: SFRATG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1975 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SFRATG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 23 | Año de puesta en marcha: 1981 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,SAN JUSTO,CORDOBA,CAMMESA,0101000020E61000007DEC2E50520E4FC05950189469703FC0,"{""type"":""Point"",""coordinates"":[-62.111887,-31.439111]}"
SAN ROQUE,EPEC GENERACION,EPEC,HIDRAULICA,24,<br>Maquina: SROQHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 6 | Año de puesta en marcha: 1959 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SROQHI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 6 | Año de puesta en marcha: 1959 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SROQHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 6 | Año de puesta en marcha: 1959 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SROQHI04 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 6 | Año de puesta en marcha: 1959 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,SANTA MARIA,CORDOBA,CAMMESA,0101000020E610000021AB0084341950C0D1F18755725A3FC0,"{""type"":""Point"",""coordinates"":[-64.3938303,-31.3533071]}"
SUD OESTE,EPEC GENERACION,EPEC,TERMICA,100,<br>Maquina: SOESTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1981 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SOESTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 20 | Año de puesta en marcha: 1981 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SOESTG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 30 | Año de puesta en marcha: 1983 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SOESTG04 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 20 | Año de puesta en marcha: 1983 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CAPITAL,CORDOBA,CAMMESA,0101000020E6100000EDF483BA480F50C0BA4BE2AC88763FC0,"{""type"":""Point"",""coordinates"":[-64.238814,-31.463023]}"
VILLA MARIA,EPEC GENERACION,EPEC,TERMICA,48,<br>Maquina: VMARTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01<br>Maquina: VMARTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01<br>Maquina: VMARTG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1975 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,GENERAL SAN MARTIN,CORDOBA,CAMMESA,0101000020E61000005D6A847EA6984FC0BAF8DB9E203740C0,"{""type"":""Point"",""coordinates"":[-63.192581,-32.430683]}"
13 DE JULIO,GENERADORA CORDOBA S.A.,GENERADORA CORDOBA SA,TERMICA,26,<br>Maquina: RTERTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-12-20<br>Maquina: RTERTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-12-20,SIN DATOS DE LOCALIDAD,TERCERO ARRIBA,CORDOBA,CAMMESA,0101000020E61000004B732B84D50950C08DEE2076A61440C0,"{""type"":""Point"",""coordinates"":[-64.153657,-32.16133]}"
MARANZANA,GEN.MEDITERRANEA (CONT.PLUS) | GEN.MEDITERRANEA (EX ENRON) | GEN.MEDITERRANEA GRUPO 5,GENERACION MEDITERRANEA SA,TERMICA,248,<br>Maquina: MMARTG05 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 60 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-09-18<br>Maquina: MMARTG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 34 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1995-02-01<br>Maquina: MMARTG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 34 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1995-02-01<br>Maquina: MMARTG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 60 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-11-14<br>Maquina: MMARTG04 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 60 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-10-17,SIN DATOS DE LOCALIDAD,RIO CUARTO,CORDOBA,CAMMESA,0101000020E6100000E4874A23661750C0DE3EABCC949440C0,"{""type"":""Point"",""coordinates"":[-64.365609,-33.160791]}"
EMBALSE,NUCLEOELECTRICA ARG. SA,NUCLEOELECTRICA ARG. SA,NUCLEAR,648,<br>Maquina: EMBANUCL | Tipo máquina: NUCLEAR | Tipo Generación: NUCLEAR | Potencia Instalada (MW): 648 | Año de puesta en marcha: 1984 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CALAMUCHITA,CORDOBA,CAMMESA,0101000020E61000000281CEA44D1C50C09F73B7EBA51D40C0,"{""type"":""Point"",""coordinates"":[-64.442239,-32.231626]}"
BERON DE ASTRADA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.116,<br>Maquina: N 821002*031=S500852M/FIAT-A221/N 1 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.116 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,BERON DE ASTRADA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000001630815B77C34CC04A4563EDEF8C3BC0,"{""type"":""Point"",""coordinates"":[-57.52708,-27.550536]}"
C. PELLEGRINI,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.88,<br>Maquina: N 33127979/CUMMINS-KTA 50 G1 TRANSPORTABLE | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.88 | Fecha de puesta en servicio: 1998-03-26 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MERCEDES,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000973B33C170964CC02F8B89CDC7893CC0,"{""type"":""Point"",""coordinates"":[-57.175316,-28.538205]}"
CAA CATI,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.415,<br>Maquina: 496 - FIAT B-305 ESS  N 6  | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.535 | Fecha de puesta en servicio: 1972-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 33132039-SO71254/42 - CUMMINS KTA-50-G1 N° 2 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.88 | Fecha de puesta en servicio: 1998-03-02 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GENERAL PAZ,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000D5230D6E6BCF4CC05F97E13FDDC03BC0,"{""type"":""Point"",""coordinates"":[-57.620466,-27.753376]}"
CORRIENTES (GRUPOS EN COMODATO),DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.4,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SIN DATOS DE DEPARTAMENTO,SIN DATOS DE PROVINCIA,DIRECCION NACIONAL DE PROSPECTIVA,,
CURUZU CUATIA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.88,<br>Maquina: 33128405/94 - CUMMINS KTA 50 G1 N° 7 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.88 | Fecha de puesta en servicio: 1996-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CURUZU CUATIA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000309DD66D50074DC02A52616C21CC3DC0,"{""type"":""Point"",""coordinates"":[-58.057142,-29.797385]}"
ESQUINA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,2.215,<br>Maquina: 296 - FIAT B305 ESS N° 2 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.535 | Fecha de puesta en servicio: 1959-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 825 - FIAT B3012 ESS N° 9 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.68 | Fecha de puesta en servicio: 1972-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GOYA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000003E59315C1DC44DC0D2E1218C9F023EC0,"{""type"":""Point"",""coordinates"":[-59.532146,-30.010247]}"
ESTACION TORRENT,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.11,<br>Maquina: TEA 100675 - W - PERKINS 6PF305 N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.04 | Fecha de puesta en servicio: 1994-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: N° 292-01-700756/DEUTZ-BA6L 2514 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.07 | Fecha de puesta en servicio: 2009-12-15 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GENERAL ALVEAR,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000906802452C3C4CC015527E52EDD33CC0,"{""type"":""Point"",""coordinates"":[-56.470101,-28.82784]}"
GOYA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.3,<br>Maquina: 6008 - FIAT AL 230.12  ESS N° 8 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.3 | Fecha de puesta en servicio: 1980-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GOYA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000AA81E673EEA24DC0D0285DFA97283DC0,"{""type"":""Point"",""coordinates"":[-59.272902,-29.158569]}"
ISLA APIPE ,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.03,<br>Maquina: 821002031-5500-807M - FIAT A221  | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.11 | Fecha de puesta en servicio: 1989-11-12 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 3164502 SCANIA DSC 11 N° 6 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.24 | Fecha de puesta en servicio: 2002-04-08 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 3162435 SCANIA DSC 11 N° 8 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.24 | Fecha de puesta en servicio: 2005-04-14 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 3010100 8601 - CUMMINS 6CTA-8.3-G N° 5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.16 | Fecha de puesta en servicio: 2006-08-04 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SPEC 868630 N° 217668 / VOLVO - TAD 1230 G / N° 7 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.28 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,ITUZAINGO,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000000B08AD872F5F4CC08B18761893823BC0,"{""type"":""Point"",""coordinates"":[-56.743638,-27.510057]}"
ITA IBATE,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.972,"<br>Maquina: 430752 - MAN G4V 23,5/33  N° 2 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.08 | Fecha de puesta en servicio: 1967-03-08 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 867 - FIAT B-306 ESS  N° 5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.892 | Fecha de puesta en servicio: 1972-04-03 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA",SIN DATOS DE LOCALIDAD,GENERAL PAZ,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000001A19E42EC2AA4CC03F912749D76C3BC0,"{""type"":""Point"",""coordinates"":[-57.334051,-27.42516]}"
ITUZAINGO,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.3,<br>Maquina: 6025 - FIAT AL 230.12 ESS N°2 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.3 | Fecha de puesta en servicio: 2009-12-25 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,ITUZAINGO,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000060764F1E16564CC00A4CA7751B943BC0,"{""type"":""Point"",""coordinates"":[-56.67255,-27.578544]}"
LA CRUZ,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.33,"<br>Maquina: 420003 - MAN G6V 23,5/33  N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 1967-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 6002 - FIAT AL 230.12-ESS N° 6 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.33 | Fecha de puesta en servicio: 1977-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 33127978 - CUMMINS KTA 38  G3  - N° 4 | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA",SIN DATOS DE LOCALIDAD,SAN MARTIN,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000074ECA012D7514CC0FD4FFEEE1D2D3DC0,"{""type"":""Point"",""coordinates"":[-56.639376,-29.176238]}"
LOMAS DE VALLEJOS,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.07,<br>Maquina: 292/01/700760 DEUTZ B A6L 2114 N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.07 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GENERAL PAZ,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F568AA27F3F54CC00989B48D3FBD3BC0,"{""type"":""Point"",""coordinates"":[-57.921483,-27.739251]}"
LORETO,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.116,<br>Maquina: FIAT A221- N° 1 - N° 821002-031-S500826M | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.116 | Fecha de puesta en servicio: 2009-12-15 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SAN MIGUEL,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000D7F9B7CB7EA34CC0130A117008C53BC0,"{""type"":""Point"",""coordinates"":[-57.277307,-27.76966]}"
MBURUCUYA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.83,<br>Maquina: 6250037 - DAIHATSU 6 PS 25 N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.2 | Fecha de puesta en servicio: 1963-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 488 - FIAT B305 ESS N° 6 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.53 | Fecha de puesta en servicio: 1970-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 818037 - DAIHATSU 8 PS 18 N° 1 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.1 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MBURUCUYA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000C765DCD4401D4DC01B118C834B0B3CC0,"{""type"":""Point"",""coordinates"":[-58.228541,-28.044121]}"
MERCEDES,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,2.3,<br>Maquina: Serie 017-N°460116-KOERTING  MWM TRHS 435A N°3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.56 | Fecha de puesta en servicio: 1964-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 680 - FIAT B-3012 ESS N° 6 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.68 | Fecha de puesta en servicio: 1974-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: TUA-101941-B PERKINS T 6354-4 - N° 4 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.06 | Fecha de puesta en servicio: 1995-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MERCEDES,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000C879FF1F270A4DC087156EF9482E3DC0,"{""type"":""Point"",""coordinates"":[-58.079319,-29.180801]}"
PALMAR GRANDE,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.14,"<br>Maquina: 110021 - MAN W6V 17,5/22 N° 4 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.14 | Fecha de puesta en servicio: 1960-02-05 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA",SIN DATOS DE LOCALIDAD,GENERAL PAZ,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000006B9BE27151F34CC084BD892139F13BC0,"{""type"":""Point"",""coordinates"":[-57.900923,-27.942278]}"
PASO DE LOS LIBRES,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,2.13,<br>Maquina: 9161 - NIIGATA L6DS N° 5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.75 | Fecha de puesta en servicio: 1968-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 925 - FIAT B3010-ESS N° 2 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.38 | Fecha de puesta en servicio: 1972-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: N° 8350 /SLM-8VD 25T/N° 6 | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,PASO DE LOS LIBRES,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000073BED87BF18B4CC0F14A92E7FAB63DC0,"{""type"":""Point"",""coordinates"":[-57.093307,-29.714766]}"
PERUGORRIA,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.11,"<br>Maquina: 1190 - STORK RHO 216 K N° 1 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.32 | Fecha de puesta en servicio: 1975-05-25 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 110012- MAN W6V 17,5/22 A N° 4 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.11 | Fecha de puesta en servicio: 1988-08-03 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: N°  33128353 / CUMMINS - KTA38 G3 / N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.68 | Fecha de puesta en servicio: 2004-11-12 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA",SIN DATOS DE LOCALIDAD,CURUZU CUATIA,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000022A98592C94D4DC02575029A08573DC0,"{""type"":""Point"",""coordinates"":[-58.607714,-29.339975]}"
SAN MIGUEL,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.408,<br>Maquina: SPEC 868580 N° 016545 / VOLVO - TAD 1630 G  | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.408 | Fecha de puesta en servicio: 1998-08-12 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SAN MIGUEL,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000757808E3A7CB4CC06BB933130CFF3BC0,"{""type"":""Point"",""coordinates"":[-57.591061,-27.996278]}"
SANTO TOME,DPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,2.654,<br>Maquina: N° 6014 - FIAT - AL230.12 ESS  - N° 3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.33 | Fecha de puesta en servicio: 2009-11-15 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: N° 36352001 - 1550055 - M /FIAT - CN3 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.024 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: N° 6013 - FIAT - AL230.12 ESS -  N° 4 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.3 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SANTO TOME,CORRIENTES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000005169C4CC3E094CC0789CA223B98C3CC0,"{""type"":""Point"",""coordinates"":[-56.072229,-28.5497]}"
